no	Lat	Long	Species	Sampling_date	Confirming_date	Subtype	Patho_type	Report_type	Info9	Info10	location3
632a	22.89592376	120.2849502	肉鵝	2015-01-31	2015-02-03	H5N8	HPAI	業者主動通報	632	649	Kaohsiung City
633a	22.79044444	120.58169444	土番鴨	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	633	648	Pingtung County
634a	22.774	120.53083333	土雞	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	634	647	Pingtung County
635a	22.75113889	120.54233333	肉鵝	2015-01-31	2015-02-03	H5N8	HPAI	業者主動通報	635	646	Pingtung County
636a	22.82311111	120.52208333	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	636	645	Pingtung County
637a	23.41816	120.23944	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	637	644	Chiayi County
638a	23.44084	120.21624	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	638	643	Chiayi County
639a	23.52047	120.29091	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	639	642	Chiayi County
640a	23.634478	120.15137	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	640	641	Yunlin County
641a	23.640963	120.314941	肉鵝	2015-01-31	2015-02-03	H5N8	HPAI	業者主動通報	641	640	Yunlin County
642a	23.64979	120.16103	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	642	639	Yunlin County
643a	23.66647	120.31176	肉鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	643	638	Yunlin County
644a	23.633964	120.32179	種鵝	2015-01-31	2015-02-03	H5N8	HPAI	業者主動通報	644	637	Yunlin County
645a	23.634086	120.31454	種鵝	2015-01-31	2015-02-03	H5N2	HPAI	業者主動通報	645	636	Yunlin County
646a	23.4541	120.26721	正番鴨	2015-01-31	2015-02-03	H5N8	HPAI	業者主動通報	646	635	Chiayi County
647a	24.01004167	120.37382222	土雞	2015-01-31	2015-02-04	H5N2	HPAI	業者主動通報	647	634	Changhua County
648a	23.976385	120.414044	土雞	2015-01-31	2015-02-04	H5N2	HPAI	業者主動通報	648	633	Changhua County
649a	23.720836	120.238866	黑羽土雞	2015-01-31	2015-02-04	H5N2	HPAI	業者主動通報	649	632	Yunlin County
609a	24.73762	120.88714	蛋鴨	2015-01-30	2015-02-01	H5N2	HPAI	業者主動通報	609	631	Hsinchu City
610a	22.858055	120.287857	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	610	630	Kaohsiung City
611a	22.891939	120.31311	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	611	629	Kaohsiung City
612a	23.700966	120.259782	土雞	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	612	628	Yunlin County
613a	23.761839	120.302785	火雞	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	613	627	Yunlin County
