segment_id	isolate_id	isolate_name	subtype	host	date	location1	location2	location3	lineage	alt_name	setting	ref	location3_short	host_type	con_date	match	log	tag	event	int_7d	int_15d	int_31d	int_90d
EPI1890853	EPI_ISL_4032096	duck/Nantou/15A03445-11-20T/2015	H5N8	Duck	2015-02-10	Asia	Taiwan	Nantou	GSGD-2344c	-	Farm	Huang_2021	Nantou	Duck/Goose	79	117b	M1	M1	117b	Changhua:5|Chiayi:9|Kaohsiung:1|Miaoli:1|Nantou:4|Pingtung:10|Tainan:4|Yunlin:12	Changhua:9|Chiayi:21|Hsinchu:3|Kaohsiung:4|Miaoli:2|Nantou:6|Pingtung:21|Taichung:1|Tainan:16|Yunlin:36	Changhua:18|Chiayi:33|Hsinchu:5|Kaohsiung:16|Miaoli:2|Nantou:7|Pingtung:48|Taichung:2|Tainan:43|Yunlin:121	Changhua:47|Chiayi:89|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:8|Pingtung:148|Taichung:5|Tainan:105|Taitung:1|Taoyuan:4|Yunlin:396
EPI1890861	EPI_ISL_4032097	chicken/Changhua/15010120-1/2015	H5N2	Chicken	2015-01-14	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	52	117a	M1	M1	117a	Changhua:7|Chiayi:20|Kaohsiung:5|Pingtung:64|Tainan:30|Taoyuan:2|Yunlin:114	Changhua:15|Chiayi:45|Kaohsiung:5|Pingtung:85|Taichung:3|Tainan:51|Taoyuan:2|Yunlin:206	Changhua:30|Chiayi:56|Hsinchu:3|Kaohsiung:12|Pingtung:109|Taichung:4|Tainan:76|Taitung:1|Taoyuan:2|Yunlin:312	Changhua:44|Chiayi:84|Hsinchu:9|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:146|Taichung:5|Tainan:105|Taitung:1|Taoyuan:2|Yunlin:388
EPI1890869	EPI_ISL_4032098	chicken/Changhua/15010288/2015	H5N2	Chicken	2015-01-18	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	56	269a	M1	M1	269a	Changhua:11|Chiayi:23|Kaohsiung:3|Pingtung:28|Taichung:3|Tainan:33|Yunlin:149	Changhua:26|Chiayi:43|Hsinchu:3|Kaohsiung:6|Pingtung:95|Taichung:3|Tainan:61|Taitung:1|Taoyuan:2|Yunlin:256	Changhua:34|Chiayi:63|Hsinchu:4|Kaohsiung:17|Pingtung:121|Taichung:4|Tainan:84|Taitung:1|Taoyuan:2|Yunlin:346	Changhua:45|Chiayi:85|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:147|Taichung:5|Tainan:105|Taitung:1|Taoyuan:3|Yunlin:392
EPI1890877	EPI_ISL_4032099	chicken/Changhua/15010324-2/2015	H5N2	Chicken	2015-01-19	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	57	314a	M1	M1	314a	Changhua:14|Chiayi:22|Hsinchu:1|Kaohsiung:4|Pingtung:32|Taichung:3|Tainan:32|Taitung:1|Yunlin:147	Changhua:28|Chiayi:38|Hsinchu:3|Kaohsiung:9|Pingtung:96|Taichung:4|Tainan:60|Taitung:1|Taoyuan:2|Yunlin:264	Changhua:34|Chiayi:64|Hsinchu:4|Kaohsiung:18|Nantou:2|Pingtung:122|Taichung:4|Tainan:87|Taitung:1|Taoyuan:2|Yunlin:348	Changhua:45|Chiayi:86|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:147|Taichung:5|Tainan:105|Taitung:1|Taoyuan:3|Yunlin:393
EPI1890885	EPI_ISL_4032104	chicken/Changhua/15010361-1/2015	H5N2	Chicken	2015-01-20	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	58	331a|348a|349a	M2.R3	M2	331a|348a|349a	Changhua:14|Chiayi:21|Hsinchu:3|Kaohsiung:1|Pingtung:31|Taichung:3|Tainan:26|Taitung:1|Yunlin:132	Changhua:27|Chiayi:39|Hsinchu:3|Kaohsiung:9|Pingtung:85|Taichung:4|Tainan:59|Taitung:1|Yunlin:261	Changhua:34|Chiayi:71|Hsinchu:4|Kaohsiung:18|Miaoli:1|Nantou:2|Pingtung:127|Taichung:5|Tainan:89|Taitung:1|Taoyuan:2|Yunlin:357	Changhua:45|Chiayi:86|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:148|Taichung:5|Tainan:105|Taitung:1|Taoyuan:3|Yunlin:393
EPI1890893	EPI_ISL_4032148	chicken/Changhua/15010362-2/2015	H5N2	Chicken	2015-01-20	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	58	331a|348a|349a	M2.R3	M2	331a|348a|349a	Changhua:14|Chiayi:21|Hsinchu:3|Kaohsiung:1|Pingtung:31|Taichung:3|Tainan:26|Taitung:1|Yunlin:132	Changhua:27|Chiayi:39|Hsinchu:3|Kaohsiung:9|Pingtung:85|Taichung:4|Tainan:59|Taitung:1|Yunlin:261	Changhua:34|Chiayi:71|Hsinchu:4|Kaohsiung:18|Miaoli:1|Nantou:2|Pingtung:127|Taichung:5|Tainan:89|Taitung:1|Taoyuan:2|Yunlin:357	Changhua:45|Chiayi:86|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:148|Taichung:5|Tainan:105|Taitung:1|Taoyuan:3|Yunlin:393
EPI1890901	EPI_ISL_4032190	chicken/Changhua/15010363-2/2015	H5N2	Chicken	2015-01-20	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	58	331a|348a|349a	M2.R3	M2	331a|348a|349a	Changhua:14|Chiayi:21|Hsinchu:3|Kaohsiung:1|Pingtung:31|Taichung:3|Tainan:26|Taitung:1|Yunlin:132	Changhua:27|Chiayi:39|Hsinchu:3|Kaohsiung:9|Pingtung:85|Taichung:4|Tainan:59|Taitung:1|Yunlin:261	Changhua:34|Chiayi:71|Hsinchu:4|Kaohsiung:18|Miaoli:1|Nantou:2|Pingtung:127|Taichung:5|Tainan:89|Taitung:1|Taoyuan:2|Yunlin:357	Changhua:45|Chiayi:86|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:148|Taichung:5|Tainan:105|Taitung:1|Taoyuan:3|Yunlin:393
EPI1890909	EPI_ISL_4032194	chicken/Changhua/15040036-1/2015	H5N8	Chicken	2015-04-23	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	151	212b|213b	M2.R2	M2	212b|213b	Changhua:5|Tainan:2|Yunlin:8	Changhua:7|Tainan:2|Yunlin:9	Changhua:8|Pingtung:1|Tainan:2|Yunlin:16	Changhua:15|Chiayi:3|Nantou:1|Pingtung:4|Tainan:5|Taoyuan:1|Yunlin:29
EPI1890917	EPI_ISL_4032195	chicken/Changhua/15040043-1/2015	H5N8	Chicken	2015-04-24	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	152	217b|218b	M2.R2	M2	217b|218b	Changhua:5|Tainan:2|Yunlin:5	Changhua:6|Tainan:2|Yunlin:10	Changhua:8|Pingtung:1|Tainan:2|Yunlin:16	Changhua:15|Chiayi:3|Nantou:1|Pingtung:4|Tainan:5|Taoyuan:1|Yunlin:29
EPI1890925	EPI_ISL_4032196	chicken/Changhua/15040037-2/2015	H5N8	Chicken	2015-04-24	Asia	Taiwan	Changhua	GSGD-2344c	-	Farm	Huang_2021	Changhua	Chicken/Turkey	152	217b|218b	M2.R2	M2	217b|218b	Changhua:5|Tainan:2|Yunlin:5	Changhua:6|Tainan:2|Yunlin:10	Changhua:8|Pingtung:1|Tainan:2|Yunlin:16	Changhua:15|Chiayi:3|Nantou:1|Pingtung:4|Tainan:5|Taoyuan:1|Yunlin:29
