cluster	loc.d	loc.o	span	span2	intro_date	intro_date2	rep_strain	area
cluster_1	Vietnam	China	0.03999999999996362	0	2000.96	2001	goose/Viet_Nam/113/2001	gSEA
cluster_2	Myanmar	China	0.2899999999999636	0.2899999999999636	2005.71	2005.71	Chicken/Myanmar/06-01001-1B/2006	gSEA
cluster_3	Vietnam	China	2.6200000000001182	0.6700000000000728	2006.05	2008	chicken/Vietnam/NCVD-016/2008	gSEA
cluster_4	Vietnam	China	0.43000000000006366	0	2007.57	2008	chicken/Vietnam/NCVD-swab15/2008	gSEA
cluster_5	China	Vietnam	3.9199999999998454	2.740000000000009	2010.68	2011.86	chicken/Gansu/6/2012	gCN
cluster_6	Vietnam	China	8.840000000000146	8.450000000000045	2002.61	2003	duck/Vietnam/15/2003	gSEA
cluster_7	Thailand	Vietnam	1.0199999999999818	0	2003.98	2005	Thailand/HA20/2005	gSEA
cluster_8	Thailand	Vietnam	6.860000000000127	6.230000000000018	2003.37	2004	crow/Bangkok/Thailand/CU-35/04	gSEA
cluster_9	Lao	Thailand	0	0	2004	2004	chicken/Laos/7191/2004	gSEA
cluster_10	Malaysia	Vietnam	0.6300000000001091	0.6300000000001091	2004	2004	chicken/Malaysia/5744/2004	gSEA
cluster_11	Cambodia	Vietnam	0.9800000000000182	0.38000000000010914	2004.24	2004.84	Chicken/Cambodia/085/2004	gSEA
cluster_12	Cambodia	Vietnam	0.10999999999989996	0.10999999999989996	2005	2005	chicken/Cambodia/022LC1b/2005	gSEA
cluster_13	Cambodia	Vietnam	1.6700000000000728	0.650000000000091	2004.98	2006	duck/Cambodia/D14AL/2006	gSEA
cluster_14	Cambodia	Vietnam	0.5	0.2300000000000182	2004.73	2005	Cambodia/408008/2005	gSEA
cluster_15	Vietnam	Cambodia	0.11999999999989086	0	2004.88	2005	duck/Vietnam/557/2005	gSEA
cluster_16	Cambodia	Vietnam	1.9400000000000546	1.6800000000000637	2005.74	2006	Chicken/Cambodia/71-LC1/2007	gSEA
cluster_17	Vietnam	Cambodia	0.2400000000000091	0	2006.76	2007	duck/Vietnam/NCVD-2/2007	gSEA
cluster_18	Cambodia	Vietnam	2.3299999999999272	2.160000000000082	2009.91	2010.08	chicken/Cambodia/TKCMB1F/2010	gSEA
cluster_19	Vietnam	Cambodia	2.1099999999999	1.7000000000000455	2011.42	2011.83	duck/Viet_Nam/ST-1550-2/2012	gSEA
cluster_20	Cambodia	Vietnam	0.13000000000010914	0.009999999999990905	2012.28	2012.4	chicken/Cambodia/W0530391/2012	gSEA
cluster_21	Cambodia	Vietnam	1.6199999999998909	1.0899999999999181	2012.5	2013.03	duck/Cambodia/11W2M1/2013	gSEA
cluster_22	Vietnam	Cambodia	1.1399999999998727	0.7200000000000273	2012.94	2013.36	quail/Vietnam/NCVD-3789/2013	gSEA
cluster_23	Cambodia	Vietnam	1.1800000000000637	1.0199999999999818	2013	2013.16	Cambodia/X0828324/2013	gSEA
cluster_24	Indonesia	China	17.180000000000064	16.539999999999964	2002.36	2003	Chicken/Klaton/LYR-HW/2003	gSEA
cluster_25	Japan	China	1.1700000000000728	0	2002.83	2004	chicken/Oita/8/2004	gNA
cluster_26	Korea	Japan	0.05999999999994543	0	2002.94	2003	chicken/Korea/es/2003	gNA
cluster_27	Romania	China	1.2999999999999545	1	2004.7	2005	chicken/Constanta/RO-AI-263/2006	gE
cluster_28	Russian_Federation	Romania	1.0599999999999454	1	2004.94	2005	Cygnus_olor/Astrakhan/Ast05-2-7/2005	gNA
cluster_29	Turkey	Russian_Federation	0.3400000000001455	0	2005.84	2006.18	chicken/Turkey/Goncaaydin_ist982/2006	gE
