statistic	time	lower	mean	upper
pro_Changhua	2014.8	0	0.00630863	0
pro_Changhua	2014.9	0	0.0465982	0.649695
pro_Changhua	2015	0.180241	0.719877	1
pro_Changhua	2015.1	1	0.99042	1
pro_Changhua	2015.2	1	0.993708	1
pro_Changhua	2015.3	1	0.992721	1
pro_Changhua	2015.4	0.409242	0.966416	1
pro_Changhua	2015.5	0	0.825836	1
pro_Changhua	2015.6	0	0.806938	1
pro_Changhua	2015.7	0	0.807093	1
pro_Changhua	2015.8	0	0.795002	1
pro_Changhua	2015.9	0	0.640852	1
pro_Changhua	2016	0	0.300924	1
pro_Changhua	2016.1	0	0.181074	1
pro_Changhua	2016.2	0	0.177572	1
pro_Changhua	2016.3	0	0.179996	1
pro_Changhua	2016.4	0	0.174061	1
pro_Changhua	2016.5	0	0.14308	1
pro_Changhua	2016.6	0	0.0586508	0.824361
pro_Changhua	2016.7	0	0.0109795	0
pro_Changhua	2016.8	0	0.00367086	0
pro_Changhua	2016.9	0	0.00438293	0
pro_Changhua	2017	0	0.00624904	0
pro_Changhua	2017.1	0	0.00475843	0
pro_Changhua	2017.2	0	0.00163738	0
pro_Changhua	2017.3	0	0.0005	0
pro_Changhua	2017.4	0	0.00097641	0
pro_Changhua	2017.5	0	0.0015	0
pro_Changhua	2017.6	0	0.0015	0
pro_Changhua	2017.7	0	0.0015	0
pro_Changhua	2017.8	0	0.000821717	0
pro_Changhua	2017.9	0	0.0005	0
pro_Changhua	2018	0	7.21731e-05	0
pro_Changhua	2018.1	0	0	0
pro_Changhua	2018.2	0	0	0
pro_Changhua	2018.3	0	0	0
pro_Changhua	2018.4	0	0	0
pro_Changhua	2018.5	0	0	0
pro_Changhua	2018.6	0	0	0
pro_Changhua	2018.7	0	0	0
pro_Changhua	2018.8	0	0	0
pro_Changhua	2018.9	0	0	0
pro_Chiayi	2014.8	0	0	0
pro_Chiayi	2014.9	0	0.00111095	0
pro_Chiayi	2015	0	0.00242823	0
pro_Chiayi	2015.1	0	0	0
pro_Chiayi	2015.2	0	0	0
pro_Chiayi	2015.3	0	0	0
pro_Chiayi	2015.4	0	0	0
pro_Chiayi	2015.5	0	0	0
pro_Chiayi	2015.6	0	0	0
pro_Chiayi	2015.7	0	0	0
pro_Chiayi	2015.8	0	0	0
pro_Chiayi	2015.9	0	0	0
pro_Chiayi	2016	0	0	0
pro_Chiayi	2016.1	0	0	0
pro_Chiayi	2016.2	0	0	0
pro_Chiayi	2016.3	0	0	0
pro_Chiayi	2016.4	0	0	0
pro_Chiayi	2016.5	0	0	0
pro_Chiayi	2016.6	0	0	0
pro_Chiayi	2016.7	0	0.00215359	0
pro_Chiayi	2016.8	0	0.0149688	0.261728
pro_Chiayi	2016.9	0	0.03335	0.5
pro_Chiayi	2017	0	0.0331424	0.5
pro_Chiayi	2017.1	0	0.022337	0.441753
pro_Chiayi	2017.2	0	0.00539527	0.0272045
pro_Chiayi	2017.3	0	0.001	0
pro_Chiayi	2017.4	0	0.001	0
pro_Chiayi	2017.5	0	0.001	0
pro_Chiayi	2017.6	0	0.001	0
pro_Chiayi	2017.7	0	0.000762238	0
pro_Chiayi	2017.8	0	0.0005	0
pro_Chiayi	2017.9	0	8.40172e-05	0
pro_Chiayi	2018	0	0	0
pro_Chiayi	2018.1	0	0	0
pro_Chiayi	2018.2	0	0.000330316	0
pro_Chiayi	2018.3	0	0.00010731	0
pro_Chiayi	2018.4	0	0	0
pro_Chiayi	2018.5	0	0	0
pro_Chiayi	2018.6	0	0	0
pro_Chiayi	2018.7	0	0	0
pro_Chiayi	2018.8	0	0	0
pro_Chiayi	2018.9	0	0	0
pro_Hsinchu	2014.8	0	0	0
pro_Hsinchu	2014.9	0	0	0
pro_Hsinchu	2015	0	0	0
pro_Hsinchu	2015.1	0	0	0
pro_Hsinchu	2015.2	0	0	0
pro_Hsinchu	2015.3	0	0	0
pro_Hsinchu	2015.4	0	0	0
pro_Hsinchu	2015.5	0	0	0
pro_Hsinchu	2015.6	0	0	0
pro_Hsinchu	2015.7	0	0	0
pro_Hsinchu	2015.8	0	0	0
pro_Hsinchu	2015.9	0	0	0
pro_Hsinchu	2016	0	0	0
pro_Hsinchu	2016.1	0	0	0
pro_Hsinchu	2016.2	0	0	0
pro_Hsinchu	2016.3	0	0	0
pro_Hsinchu	2016.4	0	0	0
pro_Hsinchu	2016.5	0	0	0
pro_Hsinchu	2016.6	0	0	0
pro_Hsinchu	2016.7	0	0	0
pro_Hsinchu	2016.8	0	0	0
pro_Hsinchu	2016.9	0	0	0
pro_Hsinchu	2017	0	0	0
pro_Hsinchu	2017.1	0	0	0
pro_Hsinchu	2017.2	0	0	0
pro_Hsinchu	2017.3	0	0	0
pro_Hsinchu	2017.4	0	0	0
pro_Hsinchu	2017.5	0	0	0
pro_Hsinchu	2017.6	0	0	0
pro_Hsinchu	2017.7	0	0	0
pro_Hsinchu	2017.8	0	0	0
pro_Hsinchu	2017.9	0	0	0
pro_Hsinchu	2018	0	0	0
pro_Hsinchu	2018.1	0	0	0
pro_Hsinchu	2018.2	0	0	0
pro_Hsinchu	2018.3	0	0	0
pro_Hsinchu	2018.4	0	0	0
pro_Hsinchu	2018.5	0	0	0
pro_Hsinchu	2018.6	0	0	0
pro_Hsinchu	2018.7	0	0	0
pro_Hsinchu	2018.8	0	0	0
pro_Hsinchu	2018.9	0	0	0
pro_Kaohsiung	2014.8	0	0	0
pro_Kaohsiung	2014.9	0	0	0
pro_Kaohsiung	2015	0	0	0
pro_Kaohsiung	2015.1	0	0	0
pro_Kaohsiung	2015.2	0	0	0
pro_Kaohsiung	2015.3	0	0	0
pro_Kaohsiung	2015.4	0	0	0
pro_Kaohsiung	2015.5	0	0	0
pro_Kaohsiung	2015.6	0	0	0
pro_Kaohsiung	2015.7	0	0	0
pro_Kaohsiung	2015.8	0	0	0
pro_Kaohsiung	2015.9	0	0	0
pro_Kaohsiung	2016	0	0	0
pro_Kaohsiung	2016.1	0	0	0
pro_Kaohsiung	2016.2	0	0	0
pro_Kaohsiung	2016.3	0	0	0
pro_Kaohsiung	2016.4	0	0	0
pro_Kaohsiung	2016.5	0	0	0
pro_Kaohsiung	2016.6	0	0	0
pro_Kaohsiung	2016.7	0	0	0
pro_Kaohsiung	2016.8	0	0	0
pro_Kaohsiung	2016.9	0	0	0
pro_Kaohsiung	2017	0	0.000880417	0
pro_Kaohsiung	2017.1	0	0.000892658	0
pro_Kaohsiung	2017.2	0	0.00015047	0
pro_Kaohsiung	2017.3	0	0	0
pro_Kaohsiung	2017.4	0	0	0
pro_Kaohsiung	2017.5	0	0	0
pro_Kaohsiung	2017.6	0	0	0
pro_Kaohsiung	2017.7	0	0	0
pro_Kaohsiung	2017.8	0	0	0
pro_Kaohsiung	2017.9	0	0	0
pro_Kaohsiung	2018	0	0.000945707	0
pro_Kaohsiung	2018.1	0	0.000872312	0
pro_Kaohsiung	2018.2	0	2.76344e-05	0
pro_Kaohsiung	2018.3	0	0	0
pro_Kaohsiung	2018.4	0	0	0
pro_Kaohsiung	2018.5	0	0	0
pro_Kaohsiung	2018.6	0	0	0
pro_Kaohsiung	2018.7	0	0	0
pro_Kaohsiung	2018.8	0	0	0
pro_Kaohsiung	2018.9	0	0	0
pro_Miaoli	2014.8	0	0	0
pro_Miaoli	2014.9	0	0	0
pro_Miaoli	2015	0	0	0
pro_Miaoli	2015.1	0	0	0
pro_Miaoli	2015.2	0	0	0
pro_Miaoli	2015.3	0	0	0
pro_Miaoli	2015.4	0	0	0
pro_Miaoli	2015.5	0	0	0
pro_Miaoli	2015.6	0	0	0
pro_Miaoli	2015.7	0	0	0
pro_Miaoli	2015.8	0	0	0
pro_Miaoli	2015.9	0	0	0
