statistic	time	lower	mean	upper
pro_Changhua	2014.8	0	0.49807	1
pro_Changhua	2014.9	0	0.532102	1
pro_Changhua	2015	0.226789	0.859849	1
pro_Changhua	2015.1	1	0.990943	1
pro_Changhua	2015.2	1	0.996755	1
pro_Changhua	2015.3	1	0.996419	1
pro_Changhua	2015.4	0.718084	0.98161	1
pro_Changhua	2015.5	0	0.932986	1
pro_Changhua	2015.6	0	0.927021	1
pro_Changhua	2015.7	0	0.935549	1
pro_Changhua	2015.8	0	0.931965	1
pro_Changhua	2015.9	0	0.799898	1
pro_Changhua	2016	0	0.413047	1
pro_Changhua	2016.1	0	0.165204	1
pro_Changhua	2016.2	0	0.0787231	1
pro_Changhua	2016.3	0	0.0347435	1
pro_Changhua	2016.4	0	0.0247049	0.364576
pro_Changhua	2016.5	0	0.0165454	0
pro_Changhua	2016.6	0	0.00565896	0
pro_Changhua	2016.7	0	0.00104349	0
pro_Changhua	2016.8	0	0	0
pro_Changhua	2016.9	0	0.000287049	0
pro_Changhua	2017	0	0.0013969	0
pro_Changhua	2017.1	0	0.000509385	0
pro_Changhua	2017.2	0	0	0
pro_Changhua	2017.3	0	0	0
pro_Changhua	2017.4	0	0	0
pro_Changhua	2017.5	0	0	0
pro_Changhua	2017.6	0	0	0
pro_Changhua	2017.7	0	0	0
pro_Changhua	2017.8	0	0	0
pro_Changhua	2017.9	0	0.000133694	0
pro_Changhua	2018	0	0.000408261	0
pro_Changhua	2018.1	0	0.000184239	0
pro_Changhua	2018.2	0	0.000157339	0
pro_Changhua	2018.3	0	0	0
pro_Changhua	2018.4	0	0	0
pro_Changhua	2018.5	0	0	0
pro_Changhua	2018.6	0	0	0
pro_Changhua	2018.7	0	0	0
pro_Changhua	2018.8	0	0	0
pro_Changhua	2018.9	0	0	0
pro_Chiayi	2014.8	0	0.00369194	0
pro_Chiayi	2014.9	0	0.000584537	0
pro_Chiayi	2015	0	0.00294588	0
pro_Chiayi	2015.1	0	0.001	0
pro_Chiayi	2015.2	0	4.98048e-05	0
pro_Chiayi	2015.3	0	0	0
pro_Chiayi	2015.4	0	0	0
pro_Chiayi	2015.5	0	0	0
pro_Chiayi	2015.6	0	0	0
pro_Chiayi	2015.7	0	0	0
pro_Chiayi	2015.8	0	0	0
pro_Chiayi	2015.9	0	0.000351263	0
pro_Chiayi	2016	0	0.00169122	0
pro_Chiayi	2016.1	0	0.00184082	0
pro_Chiayi	2016.2	0	0.000185839	0
pro_Chiayi	2016.3	0	0	0
pro_Chiayi	2016.4	0	0	0
pro_Chiayi	2016.5	0	0	0
pro_Chiayi	2016.6	0	5.6124e-05	0
pro_Chiayi	2016.7	0	0.00072104	0
pro_Chiayi	2016.8	0	0.0114332	0.206557
pro_Chiayi	2016.9	0	0.0386752	0.5
pro_Chiayi	2017	0	0.0331345	0.5
pro_Chiayi	2017.1	0	0.0165684	0.410346
pro_Chiayi	2017.2	0	0.003485	0
pro_Chiayi	2017.3	0	0.001	0
pro_Chiayi	2017.4	0	0.000498719	0
pro_Chiayi	2017.5	0	0	0
pro_Chiayi	2017.6	0	0	0
pro_Chiayi	2017.7	0	0	0
pro_Chiayi	2017.8	0	0	0
pro_Chiayi	2017.9	0	0	0
pro_Chiayi	2018	0	0	0
pro_Chiayi	2018.1	0	0	0
pro_Chiayi	2018.2	0	0	0
pro_Chiayi	2018.3	0	0	0
pro_Chiayi	2018.4	0	0	0
pro_Chiayi	2018.5	0	0	0
pro_Chiayi	2018.6	0	0	0
pro_Chiayi	2018.7	0	0	0
pro_Chiayi	2018.8	0	0	0
pro_Chiayi	2018.9	0	0	0
pro_Hsinchu	2014.8	0	0	0
pro_Hsinchu	2014.9	0	0	0
pro_Hsinchu	2015	0	0	0
pro_Hsinchu	2015.1	0	0	0
pro_Hsinchu	2015.2	0	0	0
pro_Hsinchu	2015.3	0	0	0
pro_Hsinchu	2015.4	0	0	0
pro_Hsinchu	2015.5	0	0	0
pro_Hsinchu	2015.6	0	0	0
pro_Hsinchu	2015.7	0	0	0
pro_Hsinchu	2015.8	0	0	0
pro_Hsinchu	2015.9	0	0	0
pro_Hsinchu	2016	0	0.00123682	0
pro_Hsinchu	2016.1	0	0.003	0
pro_Hsinchu	2016.2	0	0.00200993	0
pro_Hsinchu	2016.3	0	0.00123595	0
pro_Hsinchu	2016.4	0	0.001	0
pro_Hsinchu	2016.5	0	0.000365433	0
pro_Hsinchu	2016.6	0	0	0
pro_Hsinchu	2016.7	0	0	0
pro_Hsinchu	2016.8	0	0	0
pro_Hsinchu	2016.9	0	0	0
pro_Hsinchu	2017	0	0	0
pro_Hsinchu	2017.1	0	0	0
pro_Hsinchu	2017.2	0	0	0
pro_Hsinchu	2017.3	0	0	0
pro_Hsinchu	2017.4	0	0	0
pro_Hsinchu	2017.5	0	0	0
pro_Hsinchu	2017.6	0	0	0
pro_Hsinchu	2017.7	0	0	0
pro_Hsinchu	2017.8	0	0	0
pro_Hsinchu	2017.9	0	0	0
pro_Hsinchu	2018	0	0	0
pro_Hsinchu	2018.1	0	0	0
pro_Hsinchu	2018.2	0	0	0
pro_Hsinchu	2018.3	0	0	0
pro_Hsinchu	2018.4	0	0	0
pro_Hsinchu	2018.5	0	0	0
pro_Hsinchu	2018.6	0	0	0
pro_Hsinchu	2018.7	0	0	0
pro_Hsinchu	2018.8	0	0	0
pro_Hsinchu	2018.9	0	0	0
pro_Kaohsiung	2014.8	0	0	0
pro_Kaohsiung	2014.9	0	0	0
pro_Kaohsiung	2015	0	0	0
pro_Kaohsiung	2015.1	0	0	0
pro_Kaohsiung	2015.2	0	0	0
pro_Kaohsiung	2015.3	0	0	0
pro_Kaohsiung	2015.4	0	0	0
pro_Kaohsiung	2015.5	0	0	0
pro_Kaohsiung	2015.6	0	0	0
pro_Kaohsiung	2015.7	0	0	0
pro_Kaohsiung	2015.8	0	0	0
