tree	state	t1_p	t2_p
1	Changhua	0.9056430599928211	0.38916461035165145
1	Chiayi	0.10857200567238857	0.4093134580937353
1	Pingtung	0.7017345497017374	0.448278582984388
1	Taichung	0.0028108746649339192	0
1	Tainan	0.601206643338598	0
1	Yunlin	0.4711180252126714	1
2	Changhua	0.8615331927665025	0.22089041095706038
2	Chiayi	0.4510200766565652	0.2155891744492454
2	Pingtung	0.6025792891615925	0.5202273300311515
2	Taichung	0.0031924459925595184	0
2	Tainan	0.2617181319193351	0.11898288120696683
2	Yunlin	0.41888175290552804	1
3	Changhua	1	0.3022260273984907
3	Chiayi	0.1948441463717242	0.38653678614843534
3	Pingtung	0.583605253202282	0.546059564300768
3	Taichung	0.0099045479983656	0
3	Tainan	0.2995484069354887	0.21660958903904828
3	Yunlin	0.5266967051537241	1
4	Changhua	0.8867967161809468	0.36714195498832336
4	Chiayi	0.1009351645597484	0.23789156188279206
4	Pingtung	0.6085303810070145	0.6867601214296284
4	Taichung	0.007464987150036429	0
4	Tainan	0.7114908183033514	0
4	Yunlin	0.5960575586474373	1
5	Changhua	0.8511690589239307	0.3022260273984907
5	Chiayi	0.1713152669379699	0.467633230554711
5	Kaohsiung	0.23392175964390924	0
5	Pingtung	0.5541298580326279	0.4418039334139458
5	Taichung	0.007294640498594437	0
5	Tainan	0.6126692250939438	0
5	Yunlin	0.5042295085732028	1
6	Changhua	0.8344090263239212	0.3022260273984907
6	Chiayi	0.32112644624080217	0.3098323054335563
6	Kaohsiung	0.08035049372474386	0
6	Pingtung	0.5445704015393804	0.4409461881757317
6	Taichung	0.034740107578709836	0
6	Tainan	0.33452954322798883	0
6	Yunlin	0.5909788781439771	1
7	Changhua	0.864148841797091	0.5355308219179371
7	Chiayi	0.17522202450471036	0.17380648640629096
7	Kaohsiung	0.22337232177438351	0
7	Pingtung	0.5986031770185165	0.5993412451874165
7	Taichung	0.009022023957419696	0
7	Tainan	0.3339159455330801	0
7	Yunlin	0.5067840541325456	1
8	Changhua	0.9208473469622126	0.3022260273984907
8	Chiayi	0.07584564103041855	0.5100650025586451
8	Pingtung	0.6643799116964518	0.7739938707889503
8	Taichung	0.012314155857640759	0
8	Tainan	0.45229633064885555	0
8	Yunlin	0.4438162811991689	1
9	Changhua	0.7368643873866759	0.3663697559532083
9	Chiayi	0.11938150555789688	0.3083791232421765
9	Pingtung	0.5879517597477458	0.5124749957772332
9	Taichung	0.005725969300991447	0
9	Tainan	0.7152367033512378	0
9	Yunlin	0.8591136790547264	1
10	Changhua	0.9246842003812215	0.337370892855548
10	Chiayi	0.5198319916137124	0.22878858622659826
10	Pingtung	0.3554873911196487	0.5121046937772366
10	Taichung	0.004292225422263685	0
10	Tainan	0.8964065026622242	0.21660958904295627
10	Yunlin	0.4713507531691498	1
11	Changhua	0.8434618493413992	0.3022260273984907
11	Chiayi	0.18454689613995512	0.46348948367193255
11	Pingtung	0.719639479029232	0.4368419445195098
11	Tainan	0.4915163636818755	0.21660958903904828
11	Yunlin	0.32799221841575116	1
12	Changhua	0.8524418473663282	0.3846840179765738
12	Chiayi	0.09187856585690657	0.4477321081483385
12	Pingtung	0.632174388354848	0.5580446007420982
12	Taichung	0.010028338097101021	0
12	Tainan	0.3800561195572659	0
12	Yunlin	0.7952186368874364	1
13	Changhua	0.8114856797737161	0.22089041096096837
13	Chiayi	0.11769065257137198	0.22712779730856414
13	Nantou	0	0.03919481737497412
13	Pingtung	0.5496904268294023	0.6145343959296252
13	Taichung	0.0030571817518682373	0
13	Tainan	0.5503865692084403	0
13	Yunlin	0.6713329178473006	1
14	Changhua	0.8794531124575332	0.22089041095706038
14	Chiayi	0.756722069977532	0.38498451817587553
14	Pingtung	0.5736738384184901	0.5138862053593138
14	Taichung	0.004282532448726155	0
14	Tainan	0.21607251024061633	0.16283447498438586
14	Yunlin	0.42825381942149365	1
15	Changhua	1	0.22089041095706038
15	Chiayi	0.07058288869581754	0.3581585706054582
15	Pingtung	0.5196527480188853	0.6398997468787927
15	Taichung	0.005384003164223312	0
15	Tainan	0.16905869662072062	0
15	Yunlin	0.46006597001319194	1
16	Changhua	1	0.3022260273984907
16	Chiayi	0.1928363885520554	0.5306553622382278
16	Nantou	0	0.04393335177343675
16	Pingtung	0.7064452927515671	0.48811909040230617
16	Taichung	0.005244510501323953	0
16	Tainan	0.17182576762506133	0.14756867866799864
16	Yunlin	0.6356390017489792	1
17	Changhua	0.7774320809794885	0.22089041095706038
17	Chiayi	0.12211640884761825	0.24917880302346967
17	Pingtung	0.307577539845	0.7141940627733285
17	Taichung	0.006063649561020219	0
17	Tainan	0.926683156066202	0.14456626830864483
17	Yunlin	0.753657578371322	1
18	Changhua	0.8331160262736875	0.22089041096096837
18	Chiayi	0.16275828484002236	0.3389441703788292
18	Pingtung	0.5576033414132342	0.6324378045976536
18	Taichung	0.0016478539009794305	0
18	Tainan	0.3752374853812082	0
18	Yunlin	0.6371056839916399	1
19	Changhua	0.8627411052801062	0.36041881325006087
19	Chiayi	0.1321143109935915	0.2277491147069834
19	Pingtung	0.650301993309265	0.7683722628163118
19	Taichung	0.012887277979144322	0
19	Tainan	0.367058179754503	0
19	Yunlin	0.5751859937834101	1
20	Changhua	0.8408842965168025	0.22089041095706038
20	Chiayi	0.10638305664806756	0.3759852255702713
20	Hsinchu	0.017153032753297562	0
20	Pingtung	0.6260021864709888	0.30768529979690185
20	Taichung	0.012437150196693053	0
20	Tainan	0.6339471241985211	0.6650256849296539
20	Yunlin	0.6945177054418774	0.9020917640937323
21	Changhua	0.826184444716693	0.22089041096096837
21	Chiayi	0.09997272308118388	0.19362370689453925
21	Nantou	0	0.0012701971054517567
21	Pingtung	0.584677568802716	0.5144534001132336
21	Taichung	0.0025301217503472047	0
21	Tainan	0.380230063307153	0.08242629422658408
21	Yunlin	0.5054427627722236	1
22	Changhua	1	0.22089041096096837
22	Chiayi	0.13757875484790247	0.2148505686210133
22	Kaohsiung	0.1916558735761533	0
22	Nantou	0	0.02898607139067781
22	Pingtung	0.5707259485883092	0.49881406526554
22	Taichung	0.01055887033239434	0
22	Tainan	0.21945302972788844	0.1832895805350941
22	Yunlin	0.5723861910927159	1
