statistic	time	lower	mean	upper
pro_Changhua	2014.8	0	0.487413	1
pro_Changhua	2014.9	0	0.835312	1
pro_Changhua	2015	0.699032	0.980969	1
pro_Changhua	2015.1	1	0.996853	1
pro_Changhua	2015.2	1	0.997275	1
pro_Changhua	2015.3	1	0.998678	1
pro_Changhua	2015.4	1	0.991971	1
pro_Changhua	2015.5	0.0939048	0.971245	1
pro_Changhua	2015.6	0	0.96962	1
pro_Changhua	2015.7	0	0.968267	1
pro_Changhua	2015.8	0	0.960258	1
pro_Changhua	2015.9	0	0.913535	1
pro_Changhua	2016	0	0.79484	1
pro_Changhua	2016.1	0	0.720367	1
pro_Changhua	2016.2	0	0.651861	1
pro_Changhua	2016.3	0	0.612476	1
pro_Changhua	2016.4	0	0.595607	1
pro_Changhua	2016.5	0	0.50319	1
pro_Changhua	2016.6	0	0.267177	1
pro_Changhua	2016.7	0	0.12071	1
pro_Changhua	2016.8	0	0.0908178	1
pro_Changhua	2016.9	0	0.0805277	1
pro_Changhua	2017	0	0.07437	0.934069
pro_Changhua	2017.1	0	0.066652	0.5
pro_Changhua	2017.2	0	0.056919	0.5
pro_Changhua	2017.3	0	0.0553009	0.5
pro_Changhua	2017.4	0	0.0572026	0.5
pro_Changhua	2017.5	0	0.0567515	0.5
pro_Changhua	2017.6	0	0.0554468	0.5
pro_Changhua	2017.7	0	0.0533209	0.5
pro_Changhua	2017.8	0	0.0482359	0.5
pro_Changhua	2017.9	0	0.0374729	0.5
pro_Changhua	2018	0	0.0235865	0.5
pro_Changhua	2018.1	0	0.0143124	0.402407
pro_Changhua	2018.2	0	0.0088909	0
pro_Changhua	2018.3	0	0.00387346	0
pro_Changhua	2018.4	0	0.00221434	0
pro_Changhua	2018.5	0	0.0015	0
pro_Changhua	2018.6	0	0.000953196	0
pro_Changhua	2018.7	0	0.0005	0
pro_Changhua	2018.8	0	0.0005	0
pro_Changhua	2018.9	0	0.0005	0
pro_Chiayi	2014.8	0	0.15891	1
pro_Chiayi	2014.9	0	0.0892373	1
pro_Chiayi	2015	0	0.0174488	0.287956
pro_Chiayi	2015.1	0	0.00314704	0
pro_Chiayi	2015.2	0	0.0027247	0
pro_Chiayi	2015.3	0	0.00132172	0
pro_Chiayi	2015.4	0	0.00164965	0
pro_Chiayi	2015.5	0	0.00278097	0
pro_Chiayi	2015.6	0	0.00398999	0
pro_Chiayi	2015.7	0	0.00475857	0
pro_Chiayi	2015.8	0	0.005	0
pro_Chiayi	2015.9	0	0.0100221	0
pro_Chiayi	2016	0	0.0164205	0
pro_Chiayi	2016.1	0	0.0173879	0
pro_Chiayi	2016.2	0	0.016838	0
pro_Chiayi	2016.3	0	0.015767	0
pro_Chiayi	2016.4	0	0.0139685	0
pro_Chiayi	2016.5	0	0.0177529	0
pro_Chiayi	2016.6	0	0.023529	0.309776
pro_Chiayi	2016.7	0	0.0340153	0.922663
pro_Chiayi	2016.8	0	0.0584255	1
pro_Chiayi	2016.9	0	0.0767633	0.657838
pro_Chiayi	2017	0	0.0560514	0.5
pro_Chiayi	2017.1	0	0.0349635	0.5
pro_Chiayi	2017.2	0	0.017581	0.450576
pro_Chiayi	2017.3	0	0.0107489	0
pro_Chiayi	2017.4	0	0.00849599	0
pro_Chiayi	2017.5	0	0.0073821	0
pro_Chiayi	2017.6	0	0.00684288	0
pro_Chiayi	2017.7	0	0.00614785	0
pro_Chiayi	2017.8	0	0.00545515	0
