statistic	time	lower	mean	upper
pro_Anseri	2014.8	1	0.996058	1
pro_Anseri	2014.9	0.943748	0.994057	1
pro_Anseri	2015	0	0.367179	0.83359
pro_Anseri	2015.1	0	0.00822138	0
pro_Anseri	2015.2	0	0.00380725	0
pro_Anseri	2015.3	0	0.00126113	0
pro_Anseri	2015.4	0	0.001	0
pro_Anseri	2015.5	0	0.00121236	0
pro_Anseri	2015.6	0	0.00411607	0
pro_Anseri	2015.7	0	0.00822418	0
pro_Anseri	2015.8	0	0.012456	0
pro_Anseri	2015.9	0	0.0349849	0.552814
pro_Anseri	2016	0	0.100178	1
pro_Anseri	2016.1	0	0.0827135	1
pro_Anseri	2016.2	0	0.0229232	0.414047
pro_Anseri	2016.3	0	0.00613845	0
pro_Anseri	2016.4	0	0.00228622	0
pro_Anseri	2016.5	0	0.002	0
pro_Anseri	2016.6	0	0.00216936	0
pro_Anseri	2016.7	0	0.00796176	0.104486
pro_Anseri	2016.8	0	0.0426767	0.5
pro_Anseri	2016.9	0	0.128793	0.5
pro_Anseri	2017	0	0.200548	0.5
pro_Anseri	2017.1	0	0.211126	0.5
pro_Anseri	2017.2	0	0.147671	0.5
pro_Anseri	2017.3	0	0.098233	0.5
pro_Anseri	2017.4	0	0.108759	0.5
pro_Anseri	2017.5	0	0.116647	0.5
pro_Anseri	2017.6	0	0.115867	0.5
pro_Anseri	2017.7	0	0.102498	0.5
pro_Anseri	2017.8	0	0.065781	0.5
pro_Anseri	2017.9	0	0.0399377	0.5
pro_Anseri	2018	0	0.0292011	0.5
pro_Anseri	2018.1	0	0.0199635	0.5
pro_Anseri	2018.2	0	0.0121071	0.178068
pro_Anseri	2018.3	0	0.00527918	0
pro_Anseri	2018.4	0	0.00181761	0
pro_Anseri	2018.5	0	0.001	0
pro_Anseri	2018.6	0	0.001	0
pro_Anseri	2018.7	0	0.001	0
pro_Anseri	2018.8	0	0.000982228	0
pro_Anseri	2018.9	0	0.000125536	0
pro_Galli	2014.8	0	0.00394224	0
pro_Galli	2014.9	0	0.00594338	0.0562521
pro_Galli	2015	0.16641	0.632821	1
pro_Galli	2015.1	1	0.991779	1
pro_Galli	2015.2	1	0.996193	1
pro_Galli	2015.3	1	0.998739	1
pro_Galli	2015.4	1	0.999	1
pro_Galli	2015.5	1	0.998788	1
pro_Galli	2015.6	1	0.995884	1
pro_Galli	2015.7	1	0.991776	1
pro_Galli	2015.8	1	0.987544	1
pro_Galli	2015.9	0.447186	0.965015	1
pro_Galli	2016	0	0.899822	1
pro_Galli	2016.1	0	0.917286	1
pro_Galli	2016.2	0.585953	0.977077	1
pro_Galli	2016.3	1	0.993862	1
pro_Galli	2016.4	1	0.997714	1
pro_Galli	2016.5	1	0.998	1
pro_Galli	2016.6	1	0.997831	1
pro_Galli	2016.7	0.895514	0.992038	1
pro_Galli	2016.8	0.5	0.957323	1
pro_Galli	2016.9	0.5	0.871207	1
pro_Galli	2017	0.5	0.799452	1
pro_Galli	2017.1	0.5	0.788874	1
pro_Galli	2017.2	0.5	0.852329	1
pro_Galli	2017.3	0.5	0.901767	1
pro_Galli	2017.4	0.5	0.891241	1
pro_Galli	2017.5	0.5	0.883353	1
pro_Galli	2017.6	0.5	0.884133	1
pro_Galli	2017.7	0.5	0.897502	1
pro_Galli	2017.8	0.5	0.934219	1
pro_Galli	2017.9	0.5	0.960062	1
pro_Galli	2018	0.5	0.970799	1
pro_Galli	2018.1	0.5	0.980037	1
pro_Galli	2018.2	0.821932	0.987893	1
pro_Galli	2018.3	1	0.994721	1
pro_Galli	2018.4	1	0.998182	1
pro_Galli	2018.5	1	0.999	1
pro_Galli	2018.6	1	0.999	1
pro_Galli	2018.7	1	0.999	1
pro_Galli	2018.8	1	0.999018	1
pro_Galli	2018.9	1	0.999874	1
